Title,Author,Rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 9,427,736 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,644,043 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,553,243 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,599,209 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,766,572 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.67 avg rating — 7,046,026 ratings"
Animal Farm,George Orwell,"really liked it 4.00 avg rating — 4,272,461 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 140,294 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 689,627 ratings"
The Fault in Our Stars,John Green,"4.13 avg rating — 5,514,465 ratings"
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,743,003 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,197,465 ratings"
Wuthering Heights,Emily Brontë,"3.90 avg rating — 1,934,172 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,289,745 ratings"
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,251,806 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.23 avg rating — 1,923,189 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.33 avg rating — 2,328,338 ratings"
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,232,039 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,646,591 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.28 avg rating — 1,003,022 ratings"
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,"3.93 avg rating — 2,455,764 ratings"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.07 avg rating — 591,987 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.14 avg rating — 4,241,374 ratings"
Memoirs of a Geisha,Arthur Golden,"4.16 avg rating — 2,069,194 ratings"
Les Misérables,Victor Hugo,"4.21 avg rating — 826,716 ratings"
The Alchemist,Paulo Coelho,"3.92 avg rating — 3,370,183 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.32 avg rating — 1,063,938 ratings"
Lord of the Flies,William Golding,"3.70 avg rating — 3,083,427 ratings"
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,740,012 ratings"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.22 avg rating — 1,949,450 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.07 avg rating — 2,109,699 ratings"
The Help,Kathryn Stockett,"4.46 avg rating — 2,934,475 ratings"
Dracula,Bram Stoker,"4.02 avg rating — 1,393,818 ratings"
Charlotte’s Web,E.B. White,"4.21 avg rating — 1,970,112 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,663,300 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,438,213 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,717,729 ratings"
Brave New World,Aldous Huxley,"3.99 avg rating — 1,986,432 ratings"
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,757,959 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,053,739 ratings"
